Provinsi,Tahun,Jumlah Kasus,Akses_Air_Minum
ACEH,2021,366,88.79
SUMATERA UTARA,2021,2918,90.89
SUMATERA BARAT,2021,654,83.4
RIAU,2021,1038,89.76
JAMBI,2021,357,79.7
SUMATERA SELATAN,2021,1135,84.7
BENGKULU,2021,628,67.39
LAMPUNG,2021,2271,80.2
KEPULAUAN BANGKA BELITUNG,2021,864,73.4
KEPULAUAN RIAU,2021,1925,90.83
DKI JAKARTA,2021,3092,99.86
JAWA BARAT,2021,23959,93.24
JAWA TENGAH,2021,4468,93.62
DI YOGYAKARTA,2021,1186,95.69
JAWA TIMUR,2021,6760,95.02
BANTEN,2021,2136,93.51
BALI,2021,2673,97.56
NUSA TENGGARA BARAT,2021,2697,94.6
NUSA TENGGARA TIMUR,2021,2538,85.4
KALIMANTAN BARAT,2021,664,78.76
KALIMANTAN TENGAH,2021,189,77.05
KALIMANTAN SELATAN,2021,176,76.4
KALIMANTAN TIMUR,2021,2898,85.8
KALIMANTAN UTARA,2021,172,86.8
SULAWESI UTARA,2021,1196,91.65
SULAWESI TENGAH,2021,671,88.51
SULAWESI SELATAN,2021,3585,91.18
SULAWESI TENGGARA,2021,674,91.94
GORONTALO,2021,557,94.57
SULAWESI BARAT,2021,339,78.35
MALUKU,2021,169,93.21
MALUKU UTARA,2021,318,88.66
PAPUA BARAT,2021,147,81.68
PAPUA,2021,98,64.92
ACEH,2022,2079,89.7
SUMATERA UTARA,2022,8541,92.13
SUMATERA BARAT,2022,4024,85.23
RIAU,2022,2370,90.07
JAMBI,2022,1378,79.19
SUMATERA SELATAN,2022,2854,86.35
BENGKULU,2022,1339,73.07
LAMPUNG,2022,4662,81.6
KEPULAUAN BANGKA BELITUNG,2022,1887,80.96
KEPULAUAN RIAU,2022,2235,91.82
DKI JAKARTA,2022,8138,97.93
JAWA BARAT,2022,36608,93.04
JAWA TENGAH,2022,12476,93.32
DI YOGYAKARTA,2022,2164,96.5
JAWA TIMUR,2022,13235,95.05
BANTEN,2022,5283,92.71
BALI,2022,5761,98.42
NUSA TENGGARA BARAT,2022,3260,95.4
NUSA TENGGARA TIMUR,2022,3096,86.76
KALIMANTAN BARAT,2022,1384,80.43
KALIMANTAN TENGAH,2022,890,77.01
KALIMANTAN SELATAN,2022,1014,76.18
KALIMANTAN TIMUR,2022,5887,87.14
KALIMANTAN UTARA,2022,1331,89.96
SULAWESI UTARA,2022,2206,94.15
SULAWESI TENGAH,2022,1883,86.74
SULAWESI SELATAN,2022,3562,91.96
SULAWESI TENGGARA,2022,918,94.64
GORONTALO,2022,580,96.16
SULAWESI BARAT,2022,676,78.98
MALUKU,2022,96,92.1
MALUKU UTARA,2022,623,88.1
PAPUA BARAT,2022,293,81.57
PAPUA,2022,533,65.39
ACEH,2023,2176,89.74
SUMATERA UTARA,2023,4578,92.19
SUMATERA BARAT,2023,1929,85.59
RIAU,2023,2153,90.47
JAMBI,2023,1413,80.02
SUMATERA SELATAN,2023,2983,87.19
BENGKULU,2023,926,73.08
LAMPUNG,2023,2181,82.78
KEPULAUAN BANGKA BELITUNG,2023,1331,81.64
KEPULAUAN RIAU,2023,730,92.1
DKI JAKARTA,2023,3908,99.42
JAWA BARAT,2023,19328,93.86
JAWA TENGAH,2023,6659,93.76
DI YOGYAKARTA,2023,700,96.69
JAWA TIMUR,2023,9401,96.01
BANTEN,2023,4154,92.95
BALI,2023,7099,98.31
NUSA TENGGARA BARAT,2023,3458,96.03
NUSA TENGGARA TIMUR,2023,2653,88.35
KALIMANTAN BARAT,2023,9003,82.08
KALIMANTAN TENGAH,2023,4834,77.72
KALIMANTAN SELATAN,2023,3072,76.29
KALIMANTAN TIMUR,2023,5592,87.9
KALIMANTAN UTARA,2023,985,90.19
SULAWESI UTARA,2023,2643,94.37
SULAWESI TENGAH,2023,1804,86.85
SULAWESI SELATAN,2023,2701,92.12
SULAWESI TENGGARA,2023,1574,94.8
GORONTALO,2023,683,96.0
SULAWESI BARAT,2023,1192,79.86
MALUKU,2023,262,92.98
MALUKU UTARA,2023,801,89.01
PAPUA,2023,220,66.49
PAPUA BARAT,2023,917,81.57
ACEH,2024,3450,90.08
SUMATERA UTARA,2024,9366,92.94
SUMATERA BARAT,2024,2823,86.85
RIAU,2024,3206,92.24
JAMBI,2024,2321,82.16
SUMATERA SELATAN,2024,6263,87.23
BENGKULU,2024,3103,72.1
LAMPUNG,2024,9068,84.51
KEPULAUAN BANGKA BELITUNG,2024,1914,82.97
KEPULAUAN RIAU,2024,1685,94.71
DKI JAKARTA,2024,13276,99.96
JAWA BARAT,2024,61423,94.9
JAWA TENGAH,2024,17636,95.43
DI YOGYAKARTA,2024,4027,96.91
JAWA TIMUR,2024,32086,96.93
BANTEN,2024,13727,94.01
BALI,2024,15570,98.32
NUSA TENGGARA BARAT,2024,4218,96.13
NUSA TENGGARA TIMUR,2024,3987,88.55
KALIMANTAN BARAT,2024,2529,82.13
KALIMANTAN TENGAH,2024,4015,78.71
KALIMANTAN SELATAN,2024,3232,77.34
KALIMANTAN TIMUR,2024,10902,89.11
KALIMANTAN UTARA,2024,644,89.42
SULAWESI UTARA,2024,4826,94.46
SULAWESI TENGAH,2024,2473,87.86
SULAWESI SELATAN,2024,6043,92.23
SULAWESI TENGGARA,2024,4867,95.31
GORONTALO,2024,2319,96.13
SULAWESI BARAT,2024,2491,80.14
MALUKU,2024,398,93.32
MALUKU UTARA,2024,1089,88.92
PAPUA,2024,481,85.84
PAPUA BARAT,2024,325,82.38
PAPUA SELATAN,2024,0,71.9
PAPUA TENGAH,2024,976,81.53
PAPUA PEGUNUNGAN,2024,249,30.64
PAPUA BARAT DAYA,2024,263,81.68
