Provinsi,Akses_Air_Minum,Jumlah Kasus,Cluster,Kategori
ACEH,89.5775,2017.75,0,Zona Kuning (Waspada)
BALI,98.1525,7775.75,0,Zona Kuning (Waspada)
BANTEN,93.295,6325.0,0,Zona Kuning (Waspada)
BENGKULU,71.41,1499.0,0,Zona Kuning (Waspada)
DI YOGYAKARTA,96.44749999999999,2019.25,0,Zona Kuning (Waspada)
DKI JAKARTA,99.2925,7103.5,0,Zona Kuning (Waspada)
GORONTALO,95.715,1034.75,0,Zona Kuning (Waspada)
JAMBI,80.2675,1367.25,0,Zona Kuning (Waspada)
JAWA BARAT,93.76,35329.5,2,Zona Merah (Darurat)
JAWA TENGAH,94.0325,10309.75,0,Zona Kuning (Waspada)
JAWA TIMUR,95.7525,15370.5,0,Zona Kuning (Waspada)
KALIMANTAN BARAT,80.85,3395.0,0,Zona Kuning (Waspada)
KALIMANTAN SELATAN,76.55250000000001,1873.5,0,Zona Kuning (Waspada)
KALIMANTAN TENGAH,77.6225,2482.0,0,Zona Kuning (Waspada)
KALIMANTAN TIMUR,87.4875,6319.75,0,Zona Kuning (Waspada)
KALIMANTAN UTARA,89.0925,783.0,0,Zona Kuning (Waspada)
KEPULAUAN BANGKA BELITUNG,79.7425,1499.0,0,Zona Kuning (Waspada)
KEPULAUAN RIAU,92.365,1643.75,0,Zona Kuning (Waspada)
LAMPUNG,82.27250000000001,4545.5,0,Zona Kuning (Waspada)
MALUKU,92.9025,231.25,0,Zona Kuning (Waspada)
MALUKU UTARA,88.6725,707.75,0,Zona Kuning (Waspada)
NUSA TENGGARA BARAT,95.53999999999999,3408.25,0,Zona Kuning (Waspada)
NUSA TENGGARA TIMUR,87.265,3068.5,0,Zona Kuning (Waspada)
PAPUA,70.66,333.0,0,Zona Kuning (Waspada)
PAPUA BARAT,81.8,420.5,0,Zona Kuning (Waspada)
PAPUA BARAT DAYA,81.68,263.0,0,Zona Kuning (Waspada)
PAPUA PEGUNUNGAN,30.64,249.0,1,Zona Hijau (Aman)
PAPUA SELATAN,71.9,0.0,0,Zona Kuning (Waspada)
PAPUA TENGAH,81.53,976.0,0,Zona Kuning (Waspada)
RIAU,90.63499999999999,2191.75,0,Zona Kuning (Waspada)
SULAWESI BARAT,79.3325,1174.5,0,Zona Kuning (Waspada)
SULAWESI SELATAN,91.8725,3972.75,0,Zona Kuning (Waspada)
SULAWESI TENGAH,87.49,1707.75,0,Zona Kuning (Waspada)
SULAWESI TENGGARA,94.1725,2008.25,0,Zona Kuning (Waspada)
SULAWESI UTARA,93.6575,2717.75,0,Zona Kuning (Waspada)
SUMATERA BARAT,85.2675,2357.5,0,Zona Kuning (Waspada)
SUMATERA SELATAN,86.3675,3308.75,0,Zona Kuning (Waspada)
SUMATERA UTARA,92.0375,6350.75,0,Zona Kuning (Waspada)
